pk,year,date,event,high_1,low_1,high_2,low_2,high_3,max_tide_height
1,2006,2006-01-01,,NA,35,138,-43,89,138
2,2006,2006-01-02,,NA,35,132,-33,90,132
3,2006,2006-01-03,,NA,36,121,-18,92,121
4,2006,2006-01-04,,NA,38,106,-1,NA,106
5,2006,2006-01-05,,93,40,87,17,NA,93
6,2006,2006-01-06,fq,93,39,69,33,NA,93
7,2006,2006-01-07,,94,31,58,46,NA,94
8,2006,2006-01-08,,95,16,64,54,NA,95
9,2006,2006-01-09,,99,1,72,55,NA,99
10,2006,2006-01-10,,105,-11,80,NA,NA,105
11,2006,2006-01-11,,NA,52,113,-20,85,113
12,2006,2006-01-12,,NA,47,119,-25,89,119
13,2006,2006-01-13,,NA,43,124,-26,92,124
14,2006,2006-01-14,fm,NA,40,126,-25,93,126
15,2006,2006-01-15,,NA,36,126,-21,93,126
16,2006,2006-01-16,,NA,33,122,-16,92,122
17,2006,2006-01-17,,NA,32,115,-8,90,115
18,2006,2006-01-18,,NA,31,105,0,89,105
19,2006,2006-01-19,,NA,33,93,10,88,93
20,2006,2006-01-20,,NA,35,79,21,NA,79
21,2006,2006-01-21,,87,38,64,32,NA,87
22,2006,2006-01-22,lq,87,37,49,43,NA,87
23,2006,2006-01-23,,88,25,NA,NA,NA,88
24,2006,2006-01-24,,92,6,64,59,NA,92
25,2006,2006-01-25,,101,-10,73,55,NA,101
26,2006,2006-01-26,,112,-29,81,NA,NA,112
27,2006,2006-01-27,,NA,46,125,-42,88,125
28,2006,2006-01-28,,NA,37,135,-49,95,135
29,2006,2006-01-29,nm,NA,28,142,-49,101,142
30,2006,2006-01-30,,NA,20,143,-42,106,143
31,2006,2006-01-31,,NA,15,137,-30,109,137
32,2006,2006-02-01,,NA,13,123,-13,110,123
33,2006,2006-02-02,,NA,14,105,5,107,107
34,2006,2006-02-03,,NA,19,82,23,NA,82
35,2006,2006-02-04,fq,102,26,60,39,NA,102
36,2006,2006-02-05,,94,30,NA,NA,NA,94
37,2006,2006-02-06,,85,16,69,69,NA,85
38,2006,2006-02-07,,86,1,77,NA,NA,86
39,2006,2006-02-08,,NA,60,96,-9,85,96
40,2006,2006-02-09,,NA,51,107,-16,91,107
41,2006,2006-02-10,,NA,43,116,-20,95,116
